1400,Toronto
1400,Vancouver
1400,Calgary
1400,Ottawa
1400,Kitchener
1400,Waterloo
1400,London
1400,St. Catharines
1400,Peterborough
1400,Edmonton
1400,Kingston
1400,Windsor
1400,Brantford
1400,Victoria
1400,Red Deer
1400,Richmond
1400,Surrey
1400,Abbotsford
1400,Kamloops
1400,Kelowna
1400,Prince George
1400,Lethbridge
1400,Medicine Hat
1400,Fort Mcmurray
1400,Banff
1400,Burlington
1400,Guelph
1400,Oshawa
1400,Belleville
1400,Nanaimo
1400,Prince Rupert
1400,Campbell River
1400,Courtenay
1400,Vernon
1400,Penticton
1400,Cranbrook
1560,Toronto
1560,Vancouver
1560,Calgary
1560,Ottawa
1560,Kitchener
1560,Waterloo
1560,London
1560,St. Catharines
1560,Peterborough
1560,Edmonton
1560,Kingston
1560,Windsor
1560,Brantford
1560,Victoria
1560,Red Deer
1560,Richmond
1560,Surrey
1560,Abbotsford
1560,Kamloops
1560,Kelowna
1560,Prince George
1560,Lethbridge
1560,Medicine Hat
1560,Fort Mcmurray
1560,Banff
1560,Burlington
1560,Guelph
1560,Oshawa
1560,Belleville
1560,Nanaimo
1560,Prince Rupert
1560,Campbell River
1560,Courtenay
1560,Vernon
1560,Penticton
1560,Cranbrook
1760,Toronto
1760,Vancouver
1760,Calgary
1760,Ottawa
1760,Kitchener
1760,Waterloo
1760,London
1760,St. Catharines
1760,Peterborough
1760,Edmonton
1760,Kingston
1760,Windsor
1760,Brantford
1760,Victoria
1760,Red Deer
1760,Richmond
1760,Surrey
1760,Abbotsford
1760,Kamloops
1760,Kelowna
1760,Prince George
1760,Lethbridge
1760,Medicine Hat
1760,Fort Mcmurray
1760,Banff
1760,Burlington
1760,Guelph
1760,Oshawa
1760,Belleville
1760,Nanaimo
1760,Prince Rupert
1760,Campbell River
1760,Courtenay
1760,Vernon
1760,Penticton
1760,Cranbrook
1843,Toronto
1843,Vancouver
1843,Calgary
1843,Ottawa
1843,Kitchener
1843,Waterloo
1843,London
1843,St. Catharines
1843,Peterborough
1843,Edmonton
1843,Kingston
1843,Windsor
1843,Brantford
1843,Victoria
1843,Red Deer
1843,Richmond
1843,Surrey
1843,Abbotsford
1843,Kamloops
1843,Kelowna
1843,Prince George
1843,Lethbridge
1843,Medicine Hat
1843,Fort Mcmurray
1843,Banff
1843,Burlington
1843,Guelph
1843,Oshawa
1843,Belleville
1843,Nanaimo
1843,Prince Rupert
1843,Campbell River
1843,Courtenay
1843,Vernon
1843,Penticton
1843,Cranbrook
1844,Toronto
1844,Vancouver
1844,Calgary
1844,Ottawa
